rowname,logFC,AveExpr,t,P.Value,adj.P.Val,B
Endogenous_TPSAB1_NM_003294.3,-2.32506718084039,12.9406866176795,-2.66126623602957,0.0133570444470175,0.994985474252963,-4.55580457748616
Endogenous_CTSG_NM_001911.2,-2.52601924695527,9.42213935021103,-2.73657380812945,0.0112171753659055,0.994985474252963,-4.55751730843549
Endogenous_CD63_NM_001780.4,1.48417793156283,13.1936900933622,2.29487147209101,0.0303398621334172,0.994985474252963,-4.56552543701811
Endogenous_C1R_NM_001733.4,-1.80484343324415,12.5669686630651,-2.24738364421416,0.0336127108303373,0.994985474252963,-4.56740158704276
Endogenous_LAMP2_NM_001122606.1,1.58811052571008,10.2578990167426,2.16641205395787,0.0399378273009907,0.994985474252963,-4.57013959236788
Endogenous_CD1A_NM_001763.2,-2.01652292008443,7.95315492330062,-2.29730333486842,0.0301803379070829,0.994985474252963,-4.57164701677484
Endogenous_FCER1A_NM_002001.2,-1.63904529106689,9.77958841960834,-2.09056434148385,0.0468131267436605,0.994985474252963,-4.57255755424344
Endogenous_DUSP4_NM_057158.2,1.81108425715875,9.70953135938918,2.05717108012473,0.0501616596480694,0.994985474252963,-4.57307579254381
Endogenous_C1S_NM_001734.2,-1.7892036035409,11.6504058298518,-2.02963394234812,0.0530813470834186,0.994985474252963,-4.57336949451433
Endogenous_STAT4_NM_003151.2,1.60101826258442,6.54900027875131,2.22494168947759,0.0352681386989289,0.994985474252963,-4.5752072593066
Endogenous_LIF_NM_002309.3,-1.98107830983811,6.83982932976134,-2.19697030766404,0.037434517806613,0.994985474252963,-4.57579237745163
Endogenous_ALCAM_NM_001627.3,-1.31610839658565,9.29803108457696,-1.95881558616861,0.0612913611617213,0.994985474252963,-4.57626741845918
Endogenous_C1QA_NM_015991.2,1.57921256758534,9.78498927063441,1.90803563188462,0.0678456314947544,0.994985474252963,-4.5766642146496
Endogenous_RORA_NM_134261.2,-1.55707926105415,10.9044374214183,-1.87600475780935,0.0722874091046158,0.994985474252963,-4.57719629590687
Endogenous_ARG1_NM_000045.2,1.39625498953941,10.339285229409,1.83590139332302,0.0782026840416688,0.994985474252963,-4.57828923661884
Endogenous_SPINK5_NM_006846.3,-1.23573466065488,12.1513949762111,-1.82145330777504,0.0804339149650254,0.994985474252963,-4.57840352051761
Endogenous_IL18R1_NM_003855.2,-1.62184905741905,7.58072969034999,-1.98738135566115,0.0578540764858075,0.994985474252963,-4.57867174568132
Endogenous_SPP1_NM_000582.2,2.76084127753521,9.23980392053183,1.81497564216055,0.0814519354712783,0.994985474252963,-4.57946123888597
Endogenous_CCL27_NM_006664.2,-2.14710665971685,8.68033541970739,-1.87772319619473,0.0720428506192654,0.994985474252963,-4.57956791133557
Endogenous_KIT_NM_000222.2,1.38782479134535,9.30952433339743,1.78568952466359,0.0861939023229076,0.994985474252963,-4.5798154464623
Endogenous_TNFRSF18_NM_004195.2,-1.53694909878874,8.05937921336189,-1.89219309372467,0.0700119211765433,0.994985474252963,-4.57991163873422
Endogenous_CMA1_NM_001836.2,-1.5715543258254,8.7542358720717,-1.83828021241004,0.0778404876803646,0.994985474252963,-4.57997923872751
