rowname,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
Endogenous_PLA1A_NM_015900.2,445.25,-0.9796605069258597,-2.6873943761956927,0.2599227147226504,-3.769045379397499,1.6387309521453968e-4,0.07950382237406033
Endogenous_BIRC7_NM_022161.2,1392.0,-0.9296860409677072,-2.46597100085422,0.26084638233591045,-3.564113224965046,3.6508834816505496e-4,0.07950382237406033
Endogenous_SPRY4_NM_030964.3,749.5833333333334,-0.9048647338867517,-1.4681913713202475,0.2587326423544793,-3.4972963815173834,4.699993512188438e-4,0.07950382237406033
Endogenous_ABL1_NM_005157.3,2009.6666666666667,0.4536813906455999,0.4845244936357343,0.13009183427397178,3.487393295494263,4.877535114973026e-4,0.07950382237406033
Endogenous_PML_NM_002675.3,2925.5,-0.4665113096350621,-0.5207531189217159,0.16276751514307305,-2.866120486173162,0.004155360610277549,0.5418590235801924
Endogenous_RAC1_NM_198829.1,5850.25,0.3183900072143197,0.33527949728724765,0.11654712221271815,2.7318564471562348,0.006297857492153396,0.6197440145784596
Endogenous_ITGB8_NM_002214.2,1896.4166666666667,0.6335560772674556,0.8877796922575056,0.24075423074342864,2.631547015024775,0.008499710598005718,0.6197440145784596
Endogenous_FGF7_NM_002009.3,591.4166666666666,0.6468634253214518,0.9668894808520784,0.25057037870460747,2.581563825163973,0.009835380291945774,0.6197440145784596
Endogenous_TIAM1_NM_003253.2,1906.5833333333333,0.412989356821347,0.4615695414267664,0.16351792925090491,2.525651827376364,0.011548386899444844,0.6197440145784596
Endogenous_TSPAN7_NM_004615.3,925.9166666666666,-0.5302918328013069,-0.6651717569677874,0.21419864132611607,-2.475701197347657,0.013297481475360062,0.6197440145784596
Endogenous_WHSC1L1_NM_017778.2,2114.0833333333335,0.2491253317257237,0.25876042588091663,0.10089281344229446,2.4692078972325486,0.013541252182442435,0.6197440145784596
Endogenous_BIRC3_NM_182962.1,230.75,-0.46005164146638655,-0.5386501086213796,0.1880825749137378,-2.446008843070043,0.01444474575536751,0.6197440145784596
